id,questions,sparq,answer
539,Welche Organisationen waren die Produzenten von Kaschmirwolle?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cashmere_wool>    },Halcyon Days (company)
540,Gib mir den Produzenten von Kassiterit?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cassiterite>    },Karuruma smelter
541,Gib mir die Produzenten von Kassiterit?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cassiterite>    },Karuruma smelter
542,Was ist der Produzent von Kassiterit?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cassiterite>    },Karuruma smelter
543,Was sind die Produzenten von Kassiterit?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cassiterite>    },Karuruma smelter
544,Was war der Produzent von Kassiterit?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cassiterite>    },Karuruma smelter
545,Was waren die Produzenten von Kassiterit?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cassiterite>    },Karuruma smelter
546,Welche Organisation ist der Produzent von Kassiterit?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cassiterite>    },Karuruma smelter
547,Welche Organisation war der Produzent von Kassiterit?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cassiterite>    },Karuruma smelter
548,Welche Organisationen sind die Produzenten von Kassiterit?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cassiterite>    },Karuruma smelter
549,Welche Organisationen waren die Produzenten von Kassiterit?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cassiterite>    },Karuruma smelter
550,Gib mir den Produzenten von Gusseisen?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cast_iron>    },Head Wrightson
551,Gib mir die Produzenten von Gusseisen?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cast_iron>    },Head Wrightson
552,Was ist der Produzent von Gusseisen?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cast_iron>    },Head Wrightson
553,Was sind die Produzenten von Gusseisen?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cast_iron>    },Head Wrightson
554,Was war der Produzent von Gusseisen?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cast_iron>    },Head Wrightson
555,Was waren die Produzenten von Gusseisen?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cast_iron>    },Head Wrightson
556,Welche Organisation ist der Produzent von Gusseisen?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cast_iron>    },Head Wrightson
557,Welche Organisation war der Produzent von Gusseisen?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cast_iron>    },Head Wrightson
558,Welche Organisationen sind die Produzenten von Gusseisen?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cast_iron>    },Head Wrightson
559,Welche Organisationen waren die Produzenten von Gusseisen?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cast_iron>    },Head Wrightson
560,Gib mir den Produzenten von Gie??barkeit?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Castability>    },Solidscape
561,Gib mir die Produzenten von Gie??barkeit?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Castability>    },Solidscape
562,Was ist der Produzent von Gie??barkeit?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Castability>    },Solidscape
563,Was sind die Produzenten von Gie??barkeit?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Castability>    },Solidscape
564,Was war der Produzent von Gie??barkeit?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Castability>    },Solidscape
565,Was waren die Produzenten von Gie??barkeit?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Castability>    },Solidscape
566,Welche Organisation ist der Produzent von Gie??barkeit?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Castability>    },Solidscape
567,Welche Organisation war der Produzent von Gie??barkeit?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Castability>    },Solidscape
568,Welche Organisationen sind die Produzenten von Gie??barkeit?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Castability>    },Solidscape
569,Welche Organisationen waren die Produzenten von Gie??barkeit?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Castability>    },Solidscape
570,Gib mir den Produzenten von Kastagnetten?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Castanets>    },Meinl Percussion
571,Gib mir die Produzenten von Kastagnetten?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Castanets>    },Meinl Percussion
572,Was ist der Produzent von Kastagnetten?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Castanets>    },Meinl Percussion
573,Was sind die Produzenten von Kastagnetten?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Castanets>    },Meinl Percussion
574,Was war der Produzent von Kastagnetten?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Castanets>    },Meinl Percussion
575,Was waren die Produzenten von Kastagnetten?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Castanets>    },Meinl Percussion
576,Welche Organisation ist der Produzent von Kastagnetten?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Castanets>    },Meinl Percussion
577,Welche Organisation war der Produzent von Kastagnetten?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Castanets>    },Meinl Percussion
578,Welche Organisationen sind die Produzenten von Kastagnetten?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Castanets>    },Meinl Percussion
579,Welche Organisationen waren die Produzenten von Kastagnetten?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Castanets>    },Meinl Percussion
580,Gib mir den Produzenten von Gie??en Urformen?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Casting>    },Doosan Heavy Industries & Construction
581,Gib mir die Produzenten von Gie??en Urformen?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Casting>    },Doosan Heavy Industries & Construction
582,Was ist der Produzent von Gie??en Urformen?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Casting>    },Doosan Heavy Industries & Construction
583,Was sind die Produzenten von Gie??en Urformen?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Casting>    },Doosan Heavy Industries & Construction
584,Was war der Produzent von Gie??en Urformen?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Casting>    },Doosan Heavy Industries & Construction
585,Was waren die Produzenten von Gie??en Urformen?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Casting>    },Doosan Heavy Industries & Construction
586,Welche Organisation ist der Produzent von Gie??en Urformen?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Casting>    },Doosan Heavy Industries & Construction
587,Welche Organisation war der Produzent von Gie??en Urformen?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Casting>    },Doosan Heavy Industries & Construction
588,Welche Organisationen sind die Produzenten von Gie??en Urformen?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Casting>    },Doosan Heavy Industries & Construction
589,Welche Organisationen waren die Produzenten von Gie??en Urformen?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Casting>    },Doosan Heavy Industries & Construction
590,Gib mir den Produzenten von Gie??en Metall?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Casting_(metalworking)>    },William Beardmore and Company
591,Gib mir die Produzenten von Gie??en Metall?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Casting_(metalworking)>    },William Beardmore and Company
592,Was ist der Produzent von Gie??en Metall?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Casting_(metalworking)>    },William Beardmore and Company
593,Was sind die Produzenten von Gie??en Metall?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Casting_(metalworking)>    },William Beardmore and Company
594,Was war der Produzent von Gie??en Metall?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Casting_(metalworking)>    },William Beardmore and Company
595,Was waren die Produzenten von Gie??en Metall?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Casting_(metalworking)>    },William Beardmore and Company
596,Welche Organisation ist der Produzent von Gie??en Metall?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Casting_(metalworking)>    },William Beardmore and Company
597,Welche Organisation war der Produzent von Gie??en Metall?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Casting_(metalworking)>    },William Beardmore and Company
598,Welche Organisationen sind die Produzenten von Gie??en Metall?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Casting_(metalworking)>    },William Beardmore and Company
599,Welche Organisationen waren die Produzenten von Gie??en Metall?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Casting_(metalworking)>    },William Beardmore and Company
600,Gib mir den Produzenten von Casual Game?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Casual_game>    },HipSoft
601,Gib mir die Produzenten von Casual Game?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Casual_game>    },HipSoft
602,Was ist der Produzent von Casual Game?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Casual_game>    },HipSoft
603,Was sind die Produzenten von Casual Game?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Casual_game>    },HipSoft
604,Was war der Produzent von Casual Game?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Casual_game>    },HipSoft
605,Was waren die Produzenten von Casual Game?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Casual_game>    },HipSoft
606,Welche Organisation ist der Produzent von Casual Game?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Casual_game>    },HipSoft
607,Welche Organisation war der Produzent von Casual Game?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Casual_game>    },HipSoft
608,Welche Organisationen sind die Produzenten von Casual Game?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Casual_game>    },HipSoft
609,Welche Organisationen waren die Produzenten von Casual Game?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Casual_game>    },HipSoft
610,Gib mir den Produzenten von Katzenauge?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cat's_eye_(road)>    },Reflecting Roadstuds Ltd
611,Gib mir die Produzenten von Katzenauge?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cat's_eye_(road)>    },Reflecting Roadstuds Ltd
612,Was ist der Produzent von Katzenauge?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cat's_eye_(road)>    },Reflecting Roadstuds Ltd
613,Was sind die Produzenten von Katzenauge?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cat's_eye_(road)>    },Reflecting Roadstuds Ltd
614,Was war der Produzent von Katzenauge?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cat's_eye_(road)>    },Reflecting Roadstuds Ltd
615,Was waren die Produzenten von Katzenauge?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cat's_eye_(road)>    },Reflecting Roadstuds Ltd
616,Welche Organisation ist der Produzent von Katzenauge?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cat's_eye_(road)>    },Reflecting Roadstuds Ltd
617,Welche Organisation war der Produzent von Katzenauge?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cat's_eye_(road)>    },Reflecting Roadstuds Ltd
618,Welche Organisationen sind die Produzenten von Katzenauge?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cat's_eye_(road)>    },Reflecting Roadstuds Ltd
619,Welche Organisationen waren die Produzenten von Katzenauge?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cat's_eye_(road)>    },Reflecting Roadstuds Ltd
620,Gib mir den Produzenten von Katalogisierung?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cataloging>    },Nylink
621,Gib mir die Produzenten von Katalogisierung?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cataloging>    },Nylink
622,Was ist der Produzent von Katalogisierung?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cataloging>    },Nylink
623,Was sind die Produzenten von Katalogisierung?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cataloging>    },Nylink
624,Was war der Produzent von Katalogisierung?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cataloging>    },Nylink
625,Was waren die Produzenten von Katalogisierung?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cataloging>    },Nylink
626,Welche Organisation ist der Produzent von Katalogisierung?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cataloging>    },Nylink
627,Welche Organisation war der Produzent von Katalogisierung?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cataloging>    },Nylink
628,Welche Organisationen sind die Produzenten von Katalogisierung?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cataloging>    },Nylink
629,Welche Organisationen waren die Produzenten von Katalogisierung?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Cataloging>    },Nylink
630,Gib mir den Produzenten von Katalysator?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Catalyst>    },Dow Chemical Company
631,Gib mir die Produzenten von Katalysator?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Catalyst>    },Dow Chemical Company
632,Was ist der Produzent von Katalysator?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Catalyst>    },Dow Chemical Company
633,Was sind die Produzenten von Katalysator?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Catalyst>    },Dow Chemical Company
634,Was war der Produzent von Katalysator?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Catalyst>    },Dow Chemical Company
635,Was waren die Produzenten von Katalysator?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Catalyst>    },Dow Chemical Company
636,Welche Organisation ist der Produzent von Katalysator?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Catalyst>    },Dow Chemical Company
637,Welche Organisation war der Produzent von Katalysator?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Catalyst>    },Dow Chemical Company
638,Welche Organisationen sind die Produzenten von Katalysator?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Catalyst>    },Dow Chemical Company
639,Welche Organisationen waren die Produzenten von Katalysator?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Catalyst>    },Dow Chemical Company
640,Gib mir den Produzenten von Katamaran?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Catamaran>    },Incat Crowther
641,Gib mir die Produzenten von Katamaran?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Catamaran>    },Incat Crowther
642,Was ist der Produzent von Katamaran?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Catamaran>    },Incat Crowther
643,Was sind die Produzenten von Katamaran?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Catamaran>    },Incat Crowther
644,Was war der Produzent von Katamaran?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Catamaran>    },Incat Crowther
645,Was waren die Produzenten von Katamaran?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Catamaran>    },Incat Crowther
646,Welche Organisation ist der Produzent von Katamaran?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Catamaran>    },Incat Crowther
647,Welche Organisation war der Produzent von Katamaran?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Catamaran>    },Incat Crowther
648,Welche Organisationen sind die Produzenten von Katamaran?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Catamaran>    },Incat Crowther
649,Welche Organisationen waren die Produzenten von Katamaran?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Catamaran>    },Incat Crowther
650,Gib mir den Produzenten von Catering?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Catering>    },Planet Sub
651,Gib mir die Produzenten von Catering?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Catering>    },Planet Sub
652,Was ist der Produzent von Catering?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Catering>    },Planet Sub
653,Was sind die Produzenten von Catering?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Catering>    },Planet Sub
654,Was war der Produzent von Catering?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Catering>    },Planet Sub
655,Was waren die Produzenten von Catering?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Catering>    },Planet Sub
656,Welche Organisation ist der Produzent von Catering?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Catering>    },Planet Sub
657,Welche Organisation war der Produzent von Catering?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Catering>    },Planet Sub
658,Welche Organisationen sind die Produzenten von Catering?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Catering>    },Planet Sub
659,Welche Organisationen waren die Produzenten von Catering?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Catering>    },Planet Sub
660,Gib mir den Produzenten von Verbrauchsmaterial?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Consumables>    },Eppendorf (company)
661,Gib mir die Produzenten von Verbrauchsmaterial?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Consumables>    },Eppendorf (company)
662,Was ist der Produzent von Verbrauchsmaterial?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Consumables>    },Eppendorf (company)
663,Was sind die Produzenten von Verbrauchsmaterial?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Consumables>    },Eppendorf (company)
664,Was war der Produzent von Verbrauchsmaterial?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Consumables>    },Eppendorf (company)
665,Was waren die Produzenten von Verbrauchsmaterial?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Consumables>    },Eppendorf (company)
666,Welche Organisation ist der Produzent von Verbrauchsmaterial?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Consumables>    },Eppendorf (company)
667,Welche Organisation war der Produzent von Verbrauchsmaterial?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Consumables>    },Eppendorf (company)
668,Welche Organisationen sind die Produzenten von Verbrauchsmaterial?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Consumables>    },Eppendorf (company)
669,Welche Organisationen waren die Produzenten von Verbrauchsmaterial?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Consumables>    },Eppendorf (company)
670,Gib mir den Produzenten von Verbraucher?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Consumer>    },T K Group of Industries
671,Gib mir die Produzenten von Verbraucher?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Consumer>    },T K Group of Industries
672,Was ist der Produzent von Verbraucher?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Consumer>    },T K Group of Industries
673,Was sind die Produzenten von Verbraucher?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Consumer>    },T K Group of Industries
674,Was war der Produzent von Verbraucher?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Consumer>    },T K Group of Industries
675,Was waren die Produzenten von Verbraucher?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Consumer>    },T K Group of Industries
676,Welche Organisation ist der Produzent von Verbraucher?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Consumer>    },T K Group of Industries
677,Welche Organisation war der Produzent von Verbraucher?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Consumer>    },T K Group of Industries
678,Welche Organisationen sind die Produzenten von Verbraucher?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Consumer>    },T K Group of Industries
679,Welche Organisationen waren die Produzenten von Verbraucher?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Consumer>    },T K Group of Industries
680,Gib mir den Produzenten von Stimmf??hlungslaut?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Contact_call>    },Duck Commander
681,Gib mir die Produzenten von Stimmf??hlungslaut?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Contact_call>    },Duck Commander
682,Was ist der Produzent von Stimmf??hlungslaut?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Contact_call>    },Duck Commander
683,Was sind die Produzenten von Stimmf??hlungslaut?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Contact_call>    },Duck Commander
684,Was war der Produzent von Stimmf??hlungslaut?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Contact_call>    },Duck Commander
685,Was waren die Produzenten von Stimmf??hlungslaut?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Contact_call>    },Duck Commander
686,Welche Organisation ist der Produzent von Stimmf??hlungslaut?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Contact_call>    },Duck Commander
687,Welche Organisation war der Produzent von Stimmf??hlungslaut?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Contact_call>    },Duck Commander
688,Welche Organisationen sind die Produzenten von Stimmf??hlungslaut?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Contact_call>    },Duck Commander
689,Welche Organisationen waren die Produzenten von Stimmf??hlungslaut?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Contact_call>    },Duck Commander
690,Gib mir den Produzenten von Kontaktlinse?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Contact_lens>    },Johnson & Johnson Vision
691,Gib mir die Produzenten von Kontaktlinse?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Contact_lens>    },Johnson & Johnson Vision
692,Was ist der Produzent von Kontaktlinse?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Contact_lens>    },Johnson & Johnson Vision
693,Was sind die Produzenten von Kontaktlinse?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Contact_lens>    },Johnson & Johnson Vision
694,Was war der Produzent von Kontaktlinse?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Contact_lens>    },Johnson & Johnson Vision
695,Was waren die Produzenten von Kontaktlinse?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Contact_lens>    },Johnson & Johnson Vision
696,Welche Organisation ist der Produzent von Kontaktlinse?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Contact_lens>    },Johnson & Johnson Vision
697,Welche Organisation war der Produzent von Kontaktlinse?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Contact_lens>    },Johnson & Johnson Vision
698,Welche Organisationen sind die Produzenten von Kontaktlinse?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Contact_lens>    },Johnson & Johnson Vision
699,Welche Organisationen waren die Produzenten von Kontaktlinse?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Contact_lens>    },Johnson & Johnson Vision
700,Gib mir den Produzenten von Kontaktloses Bezahlen?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Contactless_payment>    },NETS (company)
701,Gib mir die Produzenten von Kontaktloses Bezahlen?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Contactless_payment>    },NETS (company)
702,Was ist der Produzent von Kontaktloses Bezahlen?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Contactless_payment>    },NETS (company)
703,Was sind die Produzenten von Kontaktloses Bezahlen?,select  ?s    {   ?s <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Contactless_payment>    },NETS (company)
